File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
All files          |   98.01 |    91.69 |   97.04 |   98.64 |                   
 src               |    88.4 |    78.65 |   84.21 |    90.5 |                   
  App.tsx          |   88.25 |    78.65 |   84.04 |   90.34 | ...00,292,321,463 
  types.ts         |     100 |      100 |     100 |     100 |                   
 src/components    |   97.51 |    89.42 |   95.46 |   98.51 |                   
  ...eAnalyzer.tsx |   97.14 |    94.73 |     100 |     100 | 40                
  ...esultView.tsx |     100 |      100 |     100 |     100 |                   
  CalendarTab.tsx  |   90.32 |    83.33 |   81.81 |     100 | 47,66,187         
  DataBackup.tsx   |   94.89 |    88.46 |   93.33 |   94.38 | ...30-131,142,156 
  DateSelector.tsx |     100 |    93.49 |   95.45 |     100 | ...72-275,326-331 
  DishManager.tsx  |   98.63 |    85.47 |   98.36 |     100 | ...64,275,288,383 
  ...rBoundary.tsx |     100 |     87.5 |     100 |     100 | 29                
  ...DriveSync.tsx |   98.82 |    97.77 |      80 |   98.76 | 109               
  GroceryList.tsx  |   97.32 |    90.17 |   98.43 |    99.3 | 169               
  ImageCapture.tsx |     100 |    74.41 |     100 |     100 | 30-55,81-121      
  ...ntManager.tsx |   98.83 |    91.48 |     100 |     100 | 80-84,175-191     
  ...gementTab.tsx |     100 |      100 |     100 |     100 |                   
  ...viewPanel.tsx |     100 |      100 |     100 |     100 |                   
  SettingsTab.tsx  |   57.14 |       50 |   14.28 |   66.66 | 18,29,33,39,47,55 
  Summary.tsx      |     100 |      100 |     100 |     100 |                   
  ...nboarding.tsx |   98.11 |    84.84 |     100 |   97.67 | 185,192           
 ...omponents/form |   98.76 |    84.14 |     100 |     100 |                   
  ChipSelect.tsx   |   94.73 |    77.77 |     100 |     100 | 33,48,65          
  FormField.tsx    |     100 |    83.33 |     100 |     100 | 17                
  RadioPills.tsx   |     100 |      100 |     100 |     100 |                   
  ...ontroller.tsx |     100 |    84.61 |     100 |     100 | 63-66,112-122     
 ...ponents/modals |   99.22 |    92.03 |   99.31 |     100 |                   
  ...tsPreview.tsx |     100 |      100 |     100 |     100 |                   
  ...viewModal.tsx |     100 |    92.77 |     100 |     100 | 61-63,101,322-328 
  ...PlanModal.tsx |     100 |    97.14 |     100 |     100 | 22                
  ...tionModal.tsx |     100 |      100 |     100 |     100 |                   
  ...PlanModal.tsx |   98.48 |       88 |   96.15 |     100 | 34,94,133         
  ...EditModal.tsx |   98.56 |    88.53 |   98.18 |     100 | ...39,330,363-364 
  ...ingsModal.tsx |     100 |    81.25 |     100 |     100 | 106,129,162       
  ...EditModal.tsx |     100 |    95.91 |     100 |     100 | 55-56             
  ...nnerModal.tsx |   97.95 |    92.13 |     100 |     100 | ...22,151-152,176 
  ...dientForm.tsx |   98.48 |    93.18 |     100 |     100 | 28,83,113         
  ...DishModal.tsx |     100 |       95 |     100 |     100 | 82,333            
  ...lateModal.tsx |     100 |    95.23 |     100 |     100 | 89                
  ...lictModal.tsx |     100 |      100 |     100 |     100 |                   
  ...teManager.tsx |     100 |    93.33 |     100 |     100 | 55,165-191        
 ...nts/navigation |     100 |      100 |     100 |     100 |                   
  ...avigation.tsx |     100 |      100 |     100 |     100 |                   
  types.ts         |     100 |      100 |     100 |     100 |                   
 ...ents/nutrition |     100 |    97.61 |     100 |     100 |                   
  ...lanceCard.tsx |     100 |      100 |     100 |     100 |                   
  ...lanceMini.tsx |     100 |    94.44 |     100 |     100 | 30                
  ...onutChart.tsx |     100 |      100 |     100 |     100 |                   
 ...nts/onboarding |   99.64 |    86.59 |     100 |     100 |                   
  ...LevelStep.tsx |     100 |      100 |     100 |     100 |                   
  ...BasicStep.tsx |     100 |       80 |     100 |     100 | 95,120-142        
  ...nfirmStep.tsx |     100 |    66.66 |     100 |     100 | 45-51,131-156     
  ...nGoalStep.tsx |     100 |    77.77 |     100 |     100 | 33,120-122        
  ...rBoundary.tsx |     100 |      100 |     100 |     100 |                   
  ...gProgress.tsx |     100 |    91.66 |     100 |     100 | 20                
  ...ingScreen.tsx |   98.75 |    86.48 |     100 |     100 | 53,60,93-106      
  ...iewScreen.tsx |     100 |      100 |     100 |     100 |                   
  ...egyChoice.tsx |     100 |      100 |     100 |     100 |                   
  ...gCoreStep.tsx |     100 |     87.5 |     100 |     100 | 26                
  ...tailSteps.tsx |     100 |    93.93 |     100 |     100 | 228-229           
  ...omeSlides.tsx |     100 |      100 |     100 |     100 |                   
  ...dingSchema.ts |     100 |      100 |     100 |     100 |                   
 ...nents/schedule |     100 |    99.07 |     100 |     100 |                   
  MacroChart.tsx   |     100 |      100 |     100 |     100 |                   
  ...ActionBar.tsx |     100 |    96.42 |     100 |     100 | 40                
  MealSlot.tsx     |     100 |      100 |     100 |     100 |                   
  MealsSubTab.tsx  |     100 |      100 |     100 |     100 |                   
  ...ritionBar.tsx |     100 |      100 |     100 |     100 |                   
  ...ionSubTab.tsx |     100 |      100 |     100 |     100 |                   
 ...nents/settings |   93.75 |    88.88 |   95.83 |   93.93 |                   
  SettingsMenu.tsx |   93.75 |    88.88 |   95.83 |   93.93 | 48,128            
 ...ponents/shared |     100 |    91.39 |     100 |     100 |                   
  DetailModal.tsx  |     100 |      100 |     100 |     100 |                   
  EmptyState.tsx   |     100 |      100 |     100 |     100 |                   
  ...ttomSheet.tsx |     100 |      100 |     100 |     100 |                   
  ListToolbar.tsx  |     100 |      100 |     100 |     100 |                   
  ...lBackdrop.tsx |     100 |    86.66 |     100 |     100 | 35,98             
  SubTabBar.tsx    |     100 |      100 |     100 |     100 |                   
  UnitSelector.tsx |     100 |    83.33 |     100 |     100 | ...22-128,142-143 
  ...gesDialog.tsx |     100 |      100 |     100 |     100 |                   
 src/constant      |     100 |      100 |     100 |     100 |                   
  colors.ts        |     100 |      100 |     100 |     100 |                   
 src/contexts      |   98.75 |    95.18 |   93.33 |   99.53 |                   
  AuthContext.tsx  |    98.6 |    96.29 |    86.2 |     100 | 110,210           
  ...seContext.tsx |   96.55 |    91.66 |     100 |   96.55 | 21                
  ...onContext.tsx |     100 |    94.11 |     100 |     100 | 93                
  ...ContextDef.ts |     100 |      100 |     100 |     100 |                   
 src/data          |     100 |      100 |     100 |     100 |                   
  constants.ts     |     100 |      100 |     100 |     100 |                   
  initialData.ts   |     100 |      100 |     100 |     100 |                   
  units.ts         |     100 |      100 |     100 |     100 |                   
 ...ures/dashboard |     100 |      100 |     100 |     100 |                   
  constants.ts     |     100 |      100 |     100 |     100 |                   
 ...ard/components |   98.18 |       94 |   96.66 |   98.75 |                   
  ...ntHistory.tsx |     100 |      100 |     100 |     100 |                   
  ...sightCard.tsx |     100 |       80 |     100 |     100 | 104-110           
  ...ustBanner.tsx |     100 |      100 |     100 |     100 |                   
  ...ScoreHero.tsx |     100 |      100 |     100 |     100 |                   
  DashboardTab.tsx |   94.44 |    92.85 |   91.66 |     100 | 20                
  ...nProgress.tsx |     100 |      100 |     100 |     100 |                   
  ...ctionsBar.tsx |     100 |      100 |     100 |     100 |                   
  StreakMini.tsx   |     100 |      100 |     100 |     100 |                   
  ...sPlanCard.tsx |   92.68 |    91.89 |      75 |    92.1 | 137,199,355       
  WeightMini.tsx   |     100 |    97.36 |     100 |     100 | 108               
  ...tQuickLog.tsx |   97.97 |    89.47 |     100 |   98.52 | 123-124           
 ...ashboard/hooks |   99.73 |    99.53 |   98.01 |   99.68 |                   
  useDailyScore.ts |     100 |      100 |     100 |     100 |                   
  ...edbackLoop.ts |     100 |      100 |     100 |     100 |                   
  ...ightEngine.ts |     100 |      100 |   91.66 |     100 |                   
  ...ickActions.ts |   98.48 |    98.14 |     100 |    98.3 | 183               
  useTodaysPlan.ts |     100 |      100 |     100 |     100 |                   
 ...ashboard/utils |     100 |      100 |     100 |     100 |                   
  ...Calculator.ts |     100 |      100 |     100 |     100 |                   
 ...atures/fitness |     100 |      100 |     100 |     100 |                   
  constants.ts     |     100 |      100 |     100 |     100 |                   
  types.ts         |     100 |      100 |     100 |     100 |                   
 ...ess/components |   98.33 |    92.24 |   98.73 |   99.02 |                   
  ...sionModal.tsx |   96.15 |    85.71 |      90 |     100 | 37-42             
  CardioLogger.tsx |      96 |    93.75 |     100 |   95.74 | 102-103           
  ...ciseModal.tsx |     100 |      100 |     100 |     100 |                   
  ...ightInput.tsx |   99.23 |    96.96 |     100 |     100 | 56,215            
  DeloadModal.tsx  |     100 |      100 |     100 |     100 |                   
  ...eSelector.tsx |   91.66 |    87.09 |   88.23 |   91.48 | 143,148-166       
  FitnessTab.tsx   |     100 |      100 |     100 |     100 |                   
  ...tonesList.tsx |     100 |      100 |     100 |     100 |                   
  PRToast.tsx      |     100 |       50 |     100 |     100 | 27                
  ...DayEditor.tsx |   97.12 |    82.14 |     100 |     100 | ...44,184-204,420 
  ...Dashboard.tsx |   97.07 |    90.72 |     100 |   97.98 | 188,305-306       
  ...nfirmCard.tsx |     100 |      100 |     100 |     100 |                   
  RestTimer.tsx    |     100 |      100 |     100 |     100 |                   
  SessionTabs.tsx  |   96.15 |    80.55 |     100 |     100 | ...,71-77,102,166 
  SetEditor.tsx    |     100 |      100 |     100 |     100 |                   
  ...ghtBanner.tsx |     100 |      100 |     100 |     100 |                   
  ...akCounter.tsx |     100 |      100 |     100 |     100 |                   
  ...ciseSheet.tsx |     100 |    93.75 |     100 |     100 | 77                
  ...gPlanView.tsx |   98.52 |    98.54 |   97.33 |   98.37 | 93,627-654        
  ...ofileForm.tsx |     100 |    92.85 |     100 |     100 | 161               
  ...utHistory.tsx |     100 |    96.55 |     100 |     100 | 44,128            
  ...outLogger.tsx |   99.37 |    85.71 |   98.33 |     100 | ...40,465,506-539 
  ...mmaryCard.tsx |     100 |      100 |     100 |     100 |                   
 ...s/fitness/data |     100 |      100 |     100 |     100 |                   
  ...seDatabase.ts |     100 |      100 |     100 |     100 |                   
 .../fitness/hooks |   98.87 |    92.82 |   99.13 |   99.23 |                   
  ...Multiplier.ts |     100 |      100 |     100 |     100 |                   
  ...urrentDate.ts |     100 |       50 |     100 |     100 | 8                 
  ...tionBridge.ts |     100 |    93.75 |     100 |     100 | 30                
  ...veOverload.ts |   98.64 |    93.24 |   97.82 |    99.2 | 272               
  useTimer.ts      |     100 |      100 |     100 |     100 |                   
  ...ainingPlan.ts |   98.52 |     92.3 |     100 |   98.93 | 552,579           
 .../fitness/utils |     100 |    98.96 |     100 |     100 |                   
  ...Multiplier.ts |     100 |      100 |     100 |     100 |                   
  ...oEstimator.ts |     100 |      100 |     100 |     100 |                   
  dateUtils.ts     |     100 |      100 |     100 |     100 |                   
  gamification.ts  |     100 |      100 |     100 |     100 |                   
  ...mericInput.ts |     100 |      100 |     100 |     100 |                   
  periodization.ts |     100 |      100 |     100 |     100 |                   
  ...auAnalysis.ts |     100 |      100 |     100 |     100 |                   
  safeJsonParse.ts |     100 |      100 |     100 |     100 |                   
  timeFormat.ts    |     100 |      100 |     100 |     100 |                   
  ...ingMetrics.ts |     100 |     87.5 |     100 |     100 | 47-65             
  ...Calculator.ts |     100 |      100 |     100 |     100 |                   
 ...health-profile |      90 |    71.42 |     100 |   88.88 |                   
  types.ts         |      90 |    71.42 |     100 |   88.88 | 37                
 ...ile/components |   95.41 |    89.65 |   97.05 |   95.14 |                   
  ...eSelector.tsx |   96.77 |    91.66 |     100 |   96.61 | 159,165           
  ...ofileForm.tsx |   93.61 |    87.17 |   94.11 |   93.18 | 172,186,329       
 ...-profile/hooks |     100 |      100 |     100 |     100 |                   
  ...ionTargets.ts |     100 |      100 |     100 |     100 |                   
 ...-profile/store |     100 |    92.85 |     100 |     100 |                   
  ...ofileStore.ts |     100 |    92.85 |     100 |     100 | 52,177            
 src/hooks         |   96.44 |    86.18 |   95.65 |   96.82 |                   
  ...Suggestion.ts |     100 |    82.14 |     100 |     100 | 51,70,74-78,91    
